verb,translation,present_irregular,separable,reflexive,sxz_ending,nm_ending_regular,nm_ending_irregular,dt_ending,no_en_ending,a_stemchanging,i_stemchanging,ie_stemchanging,stem_changing_t,irregular_other,present_singular_1st_person,present_singular_2nd_person,present_singular_3rd_person,present_plural_1st_person,present_plural_2nd_person,present_plural_3rd_person,present_formal
abdrucken,to print in a publication,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,drucke ab,druckst ab,druckt ab,drucken ab,druckt ab,drucken ab,drucken ab
abgeben,"to give off (heat, sound)/to hand over",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,gebe ab,gibst ab,gibt ab,geben ab,gebt ab,geben ab,geben ab
abfahren,to depart,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,fahre ab,fährst ab,fährt ab,fahren ab,fahrt ab,fahren ab,fahren ab
abfliegen,to depart (plane),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fliege ab,fliegst ab,fliegt ab,fliegen ab,fliegt ab,fliegen ab,fliegen ab
abfließen,to flow away,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fließe ab,fließt ab,fließt ab,fließen ab,fließt ab,fließen ab,fließen ab
abrufen,to retrieve/to call up,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,rufe ab,rufst ab,ruft ab,rufen ab,ruft ab,rufen ab,rufen ab
absagen,to call off/to cancel,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sage ab,sagst ab,sagt ab,sagen ab,sagt ab,sagen ab,sagen ab
abschicken,to send off,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schicke ab,schickst ab,schickt ab,schicken ab,schickt ab,schicken ab,schicken ab
abschießen,to shoot down (planes/ideas),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schieße ab,schießt ab,schießt ab,schießen ab,schießt ab,schießen ab,schießen ab
abschließen,to lock/to complete (project/degree),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schließe ab,schließt ab,schließt ab,schließen ab,schließt ab,schließen ab,schließen ab
abschneiden,to cut off,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schneide ab,schneidest ab,schneidet ab,schneiden ab,schneidet ab,schneiden ab,schneiden ab
abschöpfen,"to skim off (foam, fat or cream)/to take a top portion",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schöpfe ab,schöpfst ab,schöpft ab,schöpfen ab,schöpft ab,schöpfen ab,schöpfen ab
abschreiben,to copy/to plagarize,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schreibe ab,schreibst ab,schreibt ab,schreiben ab,schreibt ab,schreiben ab,schreiben ab
abschwellen,to subside/to go down again,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,schwelle ab,schwillst ab,schwillt ab,schwellen ab,schwellt ab,schwellen ab,schwellen ab
absenden,to send off/to dispatch,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sende ab,sendest ab,sendet ab,senden ab,sendet ab,senden ab,senden ab
absetzen,to set down/ to take off (glass/make-up)/to discontinue (medication/product),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,setze ab,setzt ab,setzt ab,setzen ab,setzt ab,setzen ab,setzen ab
absinken,to decrease (levels),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sinke ab,sinkst ab,sinkt ab,sinken ab,sinkt ab,sinken ab,sinken ab
abspielen,to play (music/video),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,spiele ab,spielst ab,spielt ab,spielen ab,spielt ab,spielen ab,spielen ab
sich abspielen,to happen,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,spiele mich ab,spielst dich ab,spielt sich ab,spielen uns ab,spielt euch ab,spielen sich ab,spielen sich ab
abspülen,to wash (dishes),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,spüle ab,spülst ab,spült ab,spülen ab,spült ab,spülen ab,spülen ab
abstechen,to stab to death/to stand out (sharply),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,steche ab,stichst ab,sticht ab,stechen ab,stecht ab,stechen ab,stechen ab
absteigen,to be relegated/to dismount,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,steige ab,steigst ab,steigt ab,steigen ab,steigt ab,steigen ab,steigen ab
absterben,"to die off (parts, plants, nerves)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,sterbe ab,stirbst ab,stirbt ab,sterben ab,sterbt ab,sterben ab,sterben ab
abstoßen,to push away/to sell off (assess),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,stoße ab,stößst ab,stößt ab,stoßen ab,stoßt ab,stoßen ab,stoßen ab
abstrahlen,to radiate away,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,strahle ab,strahlst ab,strahlt ab,strahlen ab,strahlt ab,strahlen ab,strahlen ab
abstürzen,"to crash (plane, software)/to fall down hard",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,stürze ab,stürzt ab,stürzt ab,stürzen ab,stürzt ab,stürzen ab,stürzen ab
abstützen,to brace (something),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,stütze ab,stützt ab,stützt ab,stützen ab,stützt ab,stützen ab,stützen ab
sich abstützen,to brace oneself (onto something),TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,stütze mich ab,stützt dich ab,stützt sich ab,stützen uns ab,stützt euch ab,stützen sich ab,stützen sich ab
absuchen,to search thoroughly,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,suche ab,suchst ab,sucht ab,suchen ab,sucht ab,suchen ab,suchen ab
abtöten,to kill off (bacteria),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,töte ab,tötest ab,tötet ab,töten ab,tötet ab,töten ab,töten ab
abtransportieren,to transport away,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,transportiere ab,transportierst ab,transportiert ab,transportieren ab,transportiert ab,transportieren ab,transportieren ab
abtrocknen,to dry off,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,trockne ab,trocknest ab,trocknet ab,trocknen ab,trocknet ab,trocknen ab,trocknen ab
abtropfen,to drip off,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,tropfe ab,tropfst ab,tropft ab,tropfen ab,tropft ab,tropfen ab,tropfen ab
abwaschen,to wash (dishes),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,wasche ab,wäschst ab,wäscht ab,waschen ab,wascht ab,waschen ab,waschen ab
sich abwechseln,to alternate/to take turns,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,wechsele mich ab,wechselst dich ab,wechselt sich ab,wechseln uns ab,wechselt eich ab,wechseln sich ab,wechseln sich ab
abwehren,to fend off,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wehre ab,wehrst ab,wehrt ab,wehren ab,wehrt ab,wehren ab,wehren ab
abweisen,to turn away,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,weise ab,weist ab,weist ab,weisen ab,weist ab,weisen ab,weisen ab
abwenden,to avert,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wende ab,wendest ab,wendet ab,wenden ab,wendet ab,wenden ab,wenden ab
abwerben,to poach somebody (away from another team/company),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,werbe ab,wirbst ab,wirbt ab,werben ab,werbt ab,werben ab,werben ab
abwerfen,to drop/to yield,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,werfe ab,wirfst ab,wirft ab,werfen ab,werft ab,werfen ab,werfen ab
abwetzen,to wear something down through rubbing,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wetze ab,wetzt ab,wetzt ab,wetzen ab,wetzt ab,wetzen ab,wetzen ab
abwiegen,to weigh out,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wiege ab,wiegst ab,wiegt ab,wiegen ab,wiegt ab,wiegen ab,wiegen ab
abzahlen,to pay off (in installments),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,zahle ab,zahlst ab,zahlt ab,zahlen ab,zahlt ab,zahlen ab,zahlen ab
achten,to pay attention to,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,achte,achtest,achtet,achten,achtet,achten,achten
ächzen,to groan/to moan,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ächze,ächzt,ächzt,ächzen,ächzt,ächzen,ächzen
anbauen,to build (an extension)/to grow (crops),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,baue an,baust an,baut an,bauen an,baut an,bauen an,bauen an
anbeißen,to take a bite/ to start eating/to bite a hook (fish),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beiße an,beißt an,beißt an,beißen an,beißt an,beißen an,beißen an
anbellen,to bark (at someone)/to snap (at someone),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,belle an,bellst an,bellt an,bellen an,bellt an,bellen an,bellen an
anbieten,to offer (something to someone),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,biete an,bietest an,bietet an,bieten an,bietet an,bieten an,bieten an
sich anbieten,to offer oneself/ to volunteer,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,biete mich an,bietest dich an,bietet sich an,bieten uns an,bietet euch an,bieten sich an,bieten sich an
anbinden,to tie onto (something),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,binde an,bindest an,bindet an,binden an,bindet an,binden an,binden an
anblicken,to look at,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,blicke an,blickst an,blickt an,blicken an,blickt an,blicken an,blicken an
anbraten,to fry briefly/to sear,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,brate an,brätst an,brät an,braten an,bratet an,braten an,braten an
anbrennen,to catch and burn (cooking),FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brenne an,brennst an,brennt an,brennen an,brennt an,brennen an,brennen an
anbrüllen,to shout at someone,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brülle an,brüllst an,brüllt an,brüllen an,brüllt an,brüllen an,brüllen an
ändern,to change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ändere,änderst,ändert,ändern,ändert,ändern,ändern
sich ändern,something changes,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ändere mich,änderst dich,ändert sich,ändern uns,ändert euch,ändern sich,ändern sich
andichten,to attribute something falsely,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dichte an,dichtest an,dichtet an,dichten an,dichtet an,dichten an,dichten an
anfahren,to drive up to/to hit (with a vehicle),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,fahre an,fährst an,fährt an,fahren an,fahrt an,fahren an,fahren an
anfangen,to begin,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fange an,fängst an,fängt an,fangen an,fangt an,fangen an,fangen an
anfassen,to lay hands on/to touch,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fasse an,fasst an,fasst an,fassen an,fasst an,fassen an,fassen an
anfragen,to make a written request,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,frage an,fragst an,fragt an,fragen an,fragt an,fragen an,fragen an
anfressen,to nibble at,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,fresse an,frisst an,frisst an,fressen an,fresst an,fressen an,fressen an
sich anfühlen,to feel (to the touch),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fühle mich an,fühlst dich an,fühlt sich an,fühlen uns an,fühlt euch an,fühlen sich an,fühlen sich an
anführen,to lead a group,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,führe an,führst an,führt an,führen an,führt an,führen an,führen an
angeben,to show off/to state,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,gebe an,gibst an,gibt an,geben an,gebt an,geben an,geben an
ankommen,to arrive/to succeed,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,komme an,kommst an,kommt an,kommen an,kommt an,kommen an,kommen an
anrufen,to call (on the phone),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an,rufen an
ansagen,to announce (aloud),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sage an,sagst an,sagt an,sagen an,sagt an,sagen an,sagen an
anschieben,to push (to get something started),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schiebe an,schiebst an,schiebt an,schieben an,schiebt an,schieben an,schieben an
anschmachten,to gaze at someone lovingly,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schmachte an,schmachtest an,schmachtet an,schmachten an,schmachtet an,schmachten an,schmachten an
anschmeißen,to start up (machine/project),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schmeiße an,schmeißt an,schmeißt an,schmeißen an,schmeißt an,schmeißen an,schmeißen an
anschmieren,to smear onto,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schmiere an,schmierst an,schmiert an,schmieren an,schmiert an,schmieren an,schmieren an
anschreiben,to write to someone/to put on the tab,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schreibe an,schreibst an,schreibt an,schreiben an,schreibt an,schreiben an,schreiben an
anschreien,to yell at someone,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,schreie an,schreist an,schreit an,schreien an,schreit an,schreien an,schreien an
anschwellen,to swell up/to increase (volume or size),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,schwelle an,schwillst an,schwillt an,schwellen an,schwellt an,schwellen an,schwellen an
ansehen,to look at,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,sehe an,siehst an,sieht an,sehen an,seht an,sehen an,sehen an
ansetzen,to position (something)/to begin (an action),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,setze an,setzt an,setzt an,setzen an,setzt an,setzen an,setzen an
ansparen,to save (money over time),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,spare an,sparst an,spart an,sparen an,spart an,sparen an,sparen an
ansprechen,to address (a topic/a person),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,spreche an,sprichst an,spricht an,sprechen an,sprecht an,sprechen an,sprechen an
anspringen,to start (motor)/ to jump at (a person),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,springe an,springst an,springt an,springen an,springt an,springen an,springen an
anspucken,to spit on (someone/something),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,spucke an,spuckst an,spuckt an,spucken an,spuckt an,spucken an,spucken an
anstehen,to queue/to be pending,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,stehe an,stehst an,steht an,stehen an,steht an,stehen an,stehen an
ansteigen,to rise (numbers/values),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,steige an,steigst an,steigt an,steigen an,steigt an,steigen an,steigen an
anstoßen,to bump (lightly)to toast (with glasses)/to initiate,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,stoße an,stößst an,stößt an,stoßen an,stoßt an,stoßen an,stoßen an
anstreben,to strive (concrete goal),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,strebe an,strebst an,strebt an,streben an,strebt an,streben an,streben an
anstreichen,to paint (walls),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,streiche an,streichst an,streicht an,streichen an,streicht an,streichen an,streichen an
antreffen,to meet (someone somewhere),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,treffe an,triffst an,trifft an,treffen an,trefft an,treffen an,treffen an
antreiben,to motivate,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,treibe an,treibst an,treibt an,treiben an,treibt an,treiben an,treiben an
antworten,to answer/to reply,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,antworte,antwortest,antwortet,antworten,antwortet,antworten,antworten
anwachsen,"to grow up (numbers, volume)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wachse an,wachst an,wachst an,wachsen an,wachst an,wachsen an,wachsen an
anweisen,to instruct/to order,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,weise an,weist an,weist an,weisen an,weist an,weisen an,weisen an
anwenden,"to apply (a rule, a method)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wende an,wendest an,wendet an,wenden an,wendet an,wenden an,wenden an
anwerben,to recruit,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,werbe an,wirbst an,wirbt an,werben an,werbt an,werben an,werben an
anzahlen,to pay (a desposit),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,zahle an,zahlst an,zahlt an,zahlen an,zahlt an,zahlen an,zahlen an
anzeichnen,to mark something lightly/to outline,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,zeichne an,zeichnest an,zeichnet an,zeichnen an,zeichnet an,zeichnen an,zeichnen an
sich anziehen,to get dressed,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ziehe mich an,ziehst dich an,zieht sich an,ziehen uns an,zieht euch an,ziehen sich an,ziehen sich an
anzeigen,to report (to authorities)/to press charges,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,zeige an,zeigst an,zeigt an,zeigen an,zeigt an,zeigen an,zeigen an
anziehen,to dress/to attract (people),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ziehe an,ziehst an,zieht an,ziehen an,zieht an,ziehen an,ziehen an
sich anziehen,to dress oneself,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ziehe mich an,ziehst dich an,zieht sich an,ziehen uns an,zieht euch an,ziehen sich an,ziehen sich an
arbeiten,to work,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,arbeiten
atmen,to breathe,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,atme,atmest,atmet,atmen,atmet,atmen,atmen
